LacCer,[M+CH3COO]-,[M-H]-,[M-H-162]-,[M-H-180]-,[M-H-324]-,[M-H-342]-
LacCer(d18:1/14:0),892.600327,832.5792,670.5263766,652.5158119,508.4735531,490.4629885
LacCer(d18:1/16:0),920.631627,860.6105,698.5576766,680.5471119,536.5048531,518.4942885
LacCer(d18:1/16:1),918.615927,858.5948,696.5419766,678.5314119,534.4891531,516.4785885
LacCer(d18:1/18:0),948.662927,888.6418,726.5889766,708.5784119,564.5361531,546.5255885
LacCer(d18:1/18:1),946.647227,886.6261,724.5732766,706.5627119,562.5204531,544.5098885
LacCer(d18:1/20:0),976.694227,916.6731,754.6202766,736.6097119,592.5674531,574.5568885
LacCer(d18:1/20:1),974.678527,914.6574,752.6045766,734.5940119,590.5517531,572.5411885
LacCer(d18:1/22:0),1004.725527,944.7044,782.6515766,764.6410119,620.5987531,602.5881885
LacCer(d18:1/22:1),1002.709827,942.6887,780.6358766,762.6253119,618.5830531,600.5724885
LacCer(d18:1/24:0),1032.756827,972.7357,810.6828766,792.6723119,648.6300531,630.6194885
LacCer(d18:1/24:1),1030.741127,970.72,808.6671766,790.6566119,646.6143531,628.6037885
LacCer(d18:1/26:0),1060.788127,1000.767,838.7141766,820.7036119,676.6613531,658.6507885
LacCer(d18:1/26:1),1058.772427,998.7513,836.6984766,818.6879119,674.6456531,656.6350885
scores,0.033333333,0.3,0.3,0.033333333,0.3,0.033333333
