LacCer,[M+K]+,[M+H-H2O]+,[M+H-Gal]+,[M+H-Lac+H2O]+,[M+H-Lac]+,[M+H-Lac-H2O]+,[M+H-R1-H2O-Lac]+,[M+H-R1-2H2O-Lac]+
LacCer(d18:1/12:0),844.5183,788.5518353,626.4990119,482.4567531,464.4461885,446.4356235,282.278995,264.268415
LacCer(d18:1/14:0),872.5496,816.5831353,654.5303119,510.4880531,492.4774885,474.4669235,282.278995,264.268415
LacCer(d18:1/16:0),900.5809,844.6144353,682.5616119,538.5193531,520.5087885,502.4982235,282.278995,264.268415
LacCer(d18:1/16:1),898.5653,842.5988353,680.5460119,536.5037531,518.4931885,500.4826235,282.278995,264.268415
LacCer(d18:1/18:0),928.6122,872.6457353,710.5929119,566.5506531,548.5400885,530.5295235,282.278995,264.268415
LacCer(d18:1/18:1),926.5966,870.6301353,708.5773119,564.5350531,546.5244885,528.5139235,282.278995,264.268415
LacCer(d18:1/20:0),956.6435,900.6770353,738.6242119,594.5819531,576.5713885,558.5608235,282.278995,264.268415
LacCer(d18:1/20:1),954.6279,898.6614353,736.6086119,592.5663531,574.5557885,556.5452235,282.278995,264.268415
LacCer(d18:1/22:0),984.6748,928.7083353,766.6555119,622.6132531,604.6026885,586.5921235,282.278995,264.268415
LacCer(d18:1/22:1),982.6592,926.6927353,764.6399119,620.5976531,602.5870885,584.5765235,282.278995,264.268415
LacCer(d18:1/24:0),1012.7061,956.7396353,794.6868119,650.6445531,632.6339885,614.6234235,282.278995,264.268415
LacCer(d18:1/24:1),1010.6905,954.7240353,792.6712119,648.6289531,630.6183885,612.6078235,282.278995,264.268415
LacCer(d18:1/26:0),1040.7374,984.7709353,822.7181119,678.6758531,660.6652885,642.6547235,282.278995,264.268415
LacCer(d18:1/26:1),1038.7218,982.7553353,820.7025119,676.6602531,658.6496885,640.6391235,282.278995,264.268415
scores,0.016666667,0.45,0.016666667,0.016666667,0.45,0.016666667,0.016666667,0.016666667
